=== MEDICAL CORPUS INDEX ===

Total Documents: 191
Total Volume: 2 MB
Generated: 2026-05-03T21:56:14.615Z

=== DOCUMENTS ===
Subject | Source | Type | Pages | Size(KB) | Lines | Path
rheumatology   |                                | book-text          | 21-30    |        1 |     49 | rheumatology\book-texts\pages-021-030.txt
rheumatology   |                                | book-text          | 31-34    |        1 |     38 | rheumatology\book-texts\pages-031-034.txt
rheumatology   |                                | book-text          | 31-39    |        3 |    108 | rheumatology\book-texts\pages-031-039.txt
rheumatology   |                                | book-text          | 31-40    |        1 |     58 | rheumatology\book-texts\pages-031-040.txt
rheumatology   |                                | book-text          | 41-44    |        1 |     20 | rheumatology\book-texts\pages-041-044.txt
rheumatology   |                                | book-text          | 41-50    |        2 |     60 | rheumatology\book-texts\pages-041-050.txt
rheumatology   |                                | book-text          | 51-60    |        1 |     36 | rheumatology\book-texts\pages-051-060.txt
rheumatology   |                                | book-text          | 61-62    |        1 |      6 | rheumatology\book-texts\pages-061-062.txt
rheumatology   |                                | book-text          | 61-70    |        2 |     79 | rheumatology\book-texts\pages-061-070.txt
rheumatology   |                                | book-text          | 71-75    |        1 |     55 | rheumatology\book-texts\pages-071-075.txt
rheumatology   | 1A_RHEUMATOID_ARTHRITIS_NOTES_ | book-text          | 1-9      |       21 |    534 | rheumatology\book-texts\1A_RHEUMATOID_ARTHRITIS_NOTES_1\pages-001-009.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 1-10     |        2 |     78 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-001-010.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 11-20    |        2 |     63 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-011-020.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 21-30    |        3 |    165 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-021-030.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 31-40    |        4 |    171 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-031-040.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 41-50    |        3 |    115 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-041-050.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 51-60    |        3 |    119 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-051-060.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 61-70    |        2 |     79 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-061-070.txt
rheumatology   | 1B_RHEUMATOID_ARTHRITIS_PPT_TE | book-text          | 71-75    |        1 |     55 | rheumatology\book-texts\1B_RHEUMATOID_ARTHRITIS_PPT_TEXT\pages-071-075.txt
rheumatology   | 2A_SPONDYLOARTHRITIS_NOTES_1   | book-text          | 1-5      |       12 |    316 | rheumatology\book-texts\2A_SPONDYLOARTHRITIS_NOTES_1\pages-001-005.txt
rheumatology   | 2B_SPONDYLOARTHRITIS_PPT_TEXT_ | book-text          | 1-10     |        1 |     45 | rheumatology\book-texts\2B_SPONDYLOARTHRITIS_PPT_TEXT_1\pages-001-010.txt
rheumatology   | 2B_SPONDYLOARTHRITIS_PPT_TEXT_ | book-text          | 11-20    |        1 |     37 | rheumatology\book-texts\2B_SPONDYLOARTHRITIS_PPT_TEXT_1\pages-011-020.txt
